name,state,city,address,phone,lat,lon
Abia State University Teaching Hospital,Abia,Aba,"Umueze Rd, Aba 453115, Abia State",+234 903 715 4985,5.1400,7.3400
Federal Medical Centre Umuahia,Abia,Umuahia,"Aba Rd, opposite Guaranty Trust Bank, Umuahia 440236, Abia State",+234 803 808 9468,5.5324,7.4924
Federal Medical Centre Yola,Adamawa,Yola,"Lamido Zubairu Way, Yola 640284, Adamawa State",+234 806 554 0843,9.2084,12.4815
Specialist Hospital Yola,Adamawa,Jimeta,"Hospital Road, Jimeta 640101, Adamawa State",+234 707 063 1228,9.2800,12.4500
University of Uyo Teaching Hospital,Akwa Ibom,Uyo,"Abak Rd, Before Ekom Iman Junction, Uyo 532101, Akwa Ibom State",+234 902 114 3800,5.0100,7.8600
Ibom Specialist Hospital,Akwa Ibom,Uyo,"Ikot Ekpene - Uyo Rd, Uyo 531116, Akwa Ibom State",+234 802 181 4674,5.0460,7.8820
Nnamdi Azikiwe University Teaching Hospital,Anambra,Nnewi,"College of Health Science, Nnewi 435101, Anambra State",+234 806 850 6910,6.0300,6.9100
Chukwuemeka Odumegwu Ojukwu University Teaching Hospital,Anambra,Awka,"Amaku, Awka 420110, Anambra State",,6.2100,7.0700
Abubakar Tafawa Balewa University Teaching Hospital,Bauchi,Bauchi,"No 1 Hospital Road, Off Yandoka Street, Bauchi, Bauchi State",+234 706 630 3804,10.3243,9.8309
Specialist Hospital Bauchi,Bauchi,Bauchi,"Hospital Road, Bauchi, Bauchi State",,10.3150,9.8430
Niger Delta University Teaching Hospital,Bayelsa,Okolobiri,"Okolobiri 569101, Bayelsa State",+234 803 775 6006,4.9811,6.3317
Federal Medical Centre Yenagoa,Bayelsa,Yenagoa,"Hospital Road, Ovom, Yenagoa 569101, Bayelsa State",+234 806 544 7750,4.9215,6.2650
Benue State University Teaching Hospital,Benue,Makurdi,"KM 3 Makurdi-Gboko Rd, Makurdi, Benue State",+234 808 720 8583,7.7300,8.5300
Federal Medical Centre Makurdi,Benue,Makurdi,"No 1 Atiku Abubakar Road, Mission Ward, Makurdi, Benue State",+234 906 948 0478,7.7333,8.5211
University of Maiduguri Teaching Hospital,Borno,Maiduguri,"Bama Road, Maiduguri, Borno State",+234 76 232 567,11.8150,13.1900
State Specialist Hospital Maiduguri,Borno,Maiduguri,"Shehu Laminu Way, Zango Ward, Maiduguri, Borno State",+234 802 000 0000,11.8333,13.1500
University of Calabar Teaching Hospital,Cross River,Calabar,"Off Airport Road, Calabar South, Calabar, Cross River State",+234 803 272 4525,4.9450,8.3280
General Hospital Calabar,Cross River,Calabar,"Mary Slessor Avenue, Efut Ekondo, Calabar, Cross River State",,4.9536,8.3360
